"Time","Nike frames"
"2021-02-01",62
"2021-03-01",80
"2021-04-01",71
"2021-05-01",67
"2021-06-01",66
"2021-07-01",66
"2021-08-01",61
"2021-09-01",65
"2021-10-01",50
"2021-11-01",68
"2021-12-01",80
"2022-01-01",73
"2022-02-01",66
"2022-03-01",76
"2022-04-01",73
"2022-05-01",60
"2022-06-01",66
"2022-07-01",73
"2022-08-01",64
"2022-09-01",59
"2022-10-01",62
"2022-11-01",77
"2022-12-01",77
"2023-01-01",75
"2023-02-01",75
"2023-03-01",76
"2023-04-01",62
"2023-05-01",54
"2023-06-01",61
"2023-07-01",68
"2023-08-01",68
"2023-09-01",60
"2023-10-01",58
"2023-11-01",73
"2023-12-01",93
"2024-01-01",67
"2024-02-01",66
"2024-03-01",62
"2024-04-01",63
"2024-05-01",57
"2024-06-01",60
"2024-07-01",62
"2024-08-01",55
"2024-09-01",51
"2024-10-01",66
"2024-11-01",66
"2024-12-01",83
"2025-01-01",68
"2025-02-01",69
"2025-03-01",60
"2025-04-01",60
"2025-05-01",68
"2025-06-01",58
"2025-07-01",81
"2025-08-01",72
"2025-09-01",69
"2025-10-01",60
"2025-11-01",100
"2025-12-01",94
"2026-01-01",80
"2026-02-01",86