"Time","Calvin Klein frames"
"2021-02-01",78
"2021-03-01",68
"2021-04-01",85
"2021-05-01",75
"2021-06-01",65
"2021-07-01",58
"2021-08-01",58
"2021-09-01",55
"2021-10-01",100
"2021-11-01",95
"2021-12-01",75
"2022-01-01",80
"2022-02-01",73
"2022-03-01",75
"2022-04-01",80
"2022-05-01",55
"2022-06-01",63
"2022-07-01",58
"2022-08-01",75
"2022-09-01",50
"2022-10-01",60
"2022-11-01",70
"2022-12-01",68
"2023-01-01",78
"2023-02-01",85
"2023-03-01",80
"2023-04-01",73
"2023-05-01",63
"2023-06-01",65
"2023-07-01",80
"2023-08-01",78
"2023-09-01",65
"2023-10-01",70
"2023-11-01",60
"2023-12-01",90
"2024-01-01",75
"2024-02-01",80
"2024-03-01",63
"2024-04-01",63
"2024-05-01",70
"2024-06-01",85
"2024-07-01",80
"2024-08-01",75
"2024-09-01",58
"2024-10-01",53
"2024-11-01",80
"2024-12-01",55
"2025-01-01",88
"2025-02-01",58
"2025-03-01",60
"2025-04-01",58
"2025-05-01",60
"2025-06-01",55
"2025-07-01",65
"2025-08-01",88
"2025-09-01",70
"2025-10-01",58
"2025-11-01",65
"2025-12-01",83
"2026-01-01",80
"2026-02-01",53