"Time","Lacoste frames"
"2021-02-01",52
"2021-03-01",78
"2021-04-01",56
"2021-05-01",63
"2021-06-01",63
"2021-07-01",93
"2021-08-01",85
"2021-09-01",74
"2021-10-01",41
"2021-11-01",59
"2021-12-01",56
"2022-01-01",78
"2022-02-01",63
"2022-03-01",59
"2022-04-01",52
"2022-05-01",63
"2022-06-01",48
"2022-07-01",70
"2022-08-01",63
"2022-09-01",44
"2022-10-01",52
"2022-11-01",63
"2022-12-01",78
"2023-01-01",81
"2023-02-01",78
"2023-03-01",52
"2023-04-01",63
"2023-05-01",78
"2023-06-01",63
"2023-07-01",70
"2023-08-01",56
"2023-09-01",78
"2023-10-01",63
"2023-11-01",63
"2023-12-01",78
"2024-01-01",67
"2024-02-01",85
"2024-03-01",30
"2024-04-01",81
"2024-05-01",48
"2024-06-01",37
"2024-07-01",70
"2024-08-01",63
"2024-09-01",44
"2024-10-01",85
"2024-11-01",74
"2024-12-01",70
"2025-01-01",52
"2025-02-01",70
"2025-03-01",74
"2025-04-01",70
"2025-05-01",67
"2025-06-01",85
"2025-07-01",70
"2025-08-01",100
"2025-09-01",33
"2025-10-01",48
"2025-11-01",48
"2025-12-01",78
"2026-01-01",67
"2026-02-01",48